
Namespace(T=1, base_lr=0.01, batch_size=4, consistency=0.1, consistency_rampup=40.0, consistency_type='mse', deterministic=1, ema_decay=0.99, exp='GDT-MT_woATO', gpu='4', labeled_bs=2, labeled_num=50, max_iterations=30000, model='vnet_3D_96_32', num_classes=2, patch_size=[96, 96, 96], root_path='/data/sohui/BraTS/data/BraTs2019', seed=1337, total_labeled_num=250)
total 250 samples
25 iterations per epoch
  0%|                                        | 0/1201 [00:00<?, ?it/s]
iteration 76 : loss : 0.103876, loss_ce: 0.088192, loss_dice: 0.072991
iteration 77 : loss : 0.187621, loss_ce: 0.181044, loss_dice: 0.126653
iteration 78 : loss : 0.235622, loss_ce: 0.059050, loss_dice: 0.342376
iteration 79 : loss : 0.109842, loss_ce: 0.069110, loss_dice: 0.102048
iteration 80 : loss : 0.183624, loss_ce: 0.089961, loss_dice: 0.219006
iteration 81 : loss : 0.156240, loss_ce: 0.123682, loss_dice: 0.133011
iteration 82 : loss : 0.247834, loss_ce: 0.183385, loss_dice: 0.279625
iteration 83 : loss : 0.161599, loss_ce: 0.131561, loss_dice: 0.142176
iteration 84 : loss : 0.241459, loss_ce: 0.166614, loss_dice: 0.252046
iteration 85 : loss : 0.133880, loss_ce: 0.085305, loss_dice: 0.117192
iteration 86 : loss : 0.267687, loss_ce: 0.142994, loss_dice: 0.333688
iteration 87 : loss : 0.158781, loss_ce: 0.103160, loss_dice: 0.157085
iteration 88 : loss : 0.122403, loss_ce: 0.106780, loss_dice: 0.095857
iteration 89 : loss : 0.236261, loss_ce: 0.083461, loss_dice: 0.351778
iteration 90 : loss : 0.165130, loss_ce: 0.064854, loss_dice: 0.231079
iteration 91 : loss : 0.336590, loss_ce: 0.288641, loss_dice: 0.324834
iteration 92 : loss : 0.107959, loss_ce: 0.086559, loss_dice: 0.080347
iteration 93 : loss : 0.289841, loss_ce: 0.219407, loss_dice: 0.309657
iteration 94 : loss : 0.067858, loss_ce: 0.058375, loss_dice: 0.032358
iteration 95 : loss : 0.140275, loss_ce: 0.055742, loss_dice: 0.183425
iteration 96 : loss : 0.106023, loss_ce: 0.072876, loss_dice: 0.084987
iteration 97 : loss : 0.088626, loss_ce: 0.055975, loss_dice: 0.064690
iteration 98 : loss : 0.095457, loss_ce: 0.056383, loss_dice: 0.085850
iteration 99 : loss : 0.200377, loss_ce: 0.176753, loss_dice: 0.174626

  0%|                             | 4/1201 [05:10<25:20:24, 76.21s/it]
iteration 101 : loss : 0.341028, loss_ce: 0.280701, loss_dice: 0.345878
iteration 102 : loss : 0.111616, loss_ce: 0.069536, loss_dice: 0.102085
iteration 103 : loss : 0.083180, loss_ce: 0.062467, loss_dice: 0.055561
iteration 104 : loss : 0.197302, loss_ce: 0.066836, loss_dice: 0.282293
iteration 105 : loss : 0.093661, loss_ce: 0.067843, loss_dice: 0.080615
iteration 106 : loss : 0.090884, loss_ce: 0.042572, loss_dice: 0.087161
iteration 107 : loss : 0.196452, loss_ce: 0.224087, loss_dice: 0.108963
iteration 108 : loss : 0.226721, loss_ce: 0.136094, loss_dice: 0.268594
iteration 109 : loss : 0.068412, loss_ce: 0.059594, loss_dice: 0.049393
iteration 110 : loss : 0.274446, loss_ce: 0.082772, loss_dice: 0.405426
iteration 111 : loss : 0.140622, loss_ce: 0.101411, loss_dice: 0.132299
iteration 112 : loss : 0.135422, loss_ce: 0.086125, loss_dice: 0.135416
iteration 113 : loss : 0.212941, loss_ce: 0.102977, loss_dice: 0.271919
iteration 114 : loss : 0.228049, loss_ce: 0.074217, loss_dice: 0.341912
iteration 115 : loss : 0.285458, loss_ce: 0.170044, loss_dice: 0.355009
iteration 116 : loss : 0.198558, loss_ce: 0.166633, loss_dice: 0.171104
iteration 117 : loss : 0.115220, loss_ce: 0.082702, loss_dice: 0.106970
iteration 118 : loss : 0.107789, loss_ce: 0.092604, loss_dice: 0.089668
iteration 119 : loss : 0.159783, loss_ce: 0.041698, loss_dice: 0.176430
iteration 120 : loss : 0.182627, loss_ce: 0.091752, loss_dice: 0.221407
iteration 121 : loss : 0.109825, loss_ce: 0.061398, loss_dice: 0.106987
iteration 122 : loss : 0.128285, loss_ce: 0.066780, loss_dice: 0.124213
iteration 123 : loss : 0.313875, loss_ce: 0.205723, loss_dice: 0.374641

  0%|                             | 5/1201 [05:57<21:51:41, 65.80s/it]
iteration 125 : loss : 0.136510, loss_ce: 0.090919, loss_dice: 0.126858
iteration 126 : loss : 0.112978, loss_ce: 0.098291, loss_dice: 0.093722
iteration 127 : loss : 0.154963, loss_ce: 0.116201, loss_dice: 0.150531
iteration 128 : loss : 0.147109, loss_ce: 0.094548, loss_dice: 0.160881
iteration 129 : loss : 0.095163, loss_ce: 0.061655, loss_dice: 0.085647
iteration 130 : loss : 0.267939, loss_ce: 0.218277, loss_dice: 0.262026
iteration 131 : loss : 0.129976, loss_ce: 0.095008, loss_dice: 0.121825
iteration 132 : loss : 0.405295, loss_ce: 0.488825, loss_dice: 0.251007
iteration 133 : loss : 0.192328, loss_ce: 0.168798, loss_dice: 0.169459
iteration 134 : loss : 0.199411, loss_ce: 0.045458, loss_dice: 0.316986
iteration 135 : loss : 0.210373, loss_ce: 0.126740, loss_dice: 0.227620
iteration 136 : loss : 0.069136, loss_ce: 0.053885, loss_dice: 0.049042
iteration 137 : loss : 0.097850, loss_ce: 0.090383, loss_dice: 0.063431
iteration 138 : loss : 0.061701, loss_ce: 0.056069, loss_dice: 0.036442
iteration 139 : loss : 0.227883, loss_ce: 0.145897, loss_dice: 0.253534
iteration 140 : loss : 0.215363, loss_ce: 0.058320, loss_dice: 0.308213
iteration 141 : loss : 0.126441, loss_ce: 0.053605, loss_dice: 0.153403
iteration 142 : loss : 0.118222, loss_ce: 0.107080, loss_dice: 0.073358
iteration 143 : loss : 0.151797, loss_ce: 0.130768, loss_dice: 0.135422
iteration 144 : loss : 0.283540, loss_ce: 0.104684, loss_dice: 0.409523
iteration 145 : loss : 0.142383, loss_ce: 0.073346, loss_dice: 0.169746
iteration 146 : loss : 0.157268, loss_ce: 0.129680, loss_dice: 0.130042
iteration 147 : loss : 0.131673, loss_ce: 0.063813, loss_dice: 0.168205
iteration 148 : loss : 0.084057, loss_ce: 0.065173, loss_dice: 0.070167

  0%|▏                            | 6/1201 [06:38<18:57:50, 57.13s/it]
iteration 150 : loss : 0.206049, loss_ce: 0.105051, loss_dice: 0.244103
iteration 151 : loss : 0.082331, loss_ce: 0.072728, loss_dice: 0.049896
iteration 152 : loss : 0.104606, loss_ce: 0.081764, loss_dice: 0.073642
iteration 153 : loss : 0.145940, loss_ce: 0.155718, loss_dice: 0.101253
iteration 154 : loss : 0.080220, loss_ce: 0.064511, loss_dice: 0.056042
iteration 155 : loss : 0.105331, loss_ce: 0.062044, loss_dice: 0.107565
iteration 156 : loss : 0.089322, loss_ce: 0.046417, loss_dice: 0.097855
iteration 157 : loss : 0.086038, loss_ce: 0.044922, loss_dice: 0.089868
iteration 158 : loss : 0.047414, loss_ce: 0.033446, loss_dice: 0.031333
iteration 159 : loss : 0.286230, loss_ce: 0.169586, loss_dice: 0.342218
iteration 160 : loss : 0.063620, loss_ce: 0.042438, loss_dice: 0.052761
iteration 161 : loss : 0.161314, loss_ce: 0.136277, loss_dice: 0.137325
iteration 162 : loss : 0.180871, loss_ce: 0.094583, loss_dice: 0.242073
iteration 163 : loss : 0.271344, loss_ce: 0.104630, loss_dice: 0.395119
iteration 164 : loss : 0.124113, loss_ce: 0.056342, loss_dice: 0.153259
iteration 165 : loss : 0.386625, loss_ce: 0.294418, loss_dice: 0.404800
iteration 166 : loss : 0.097759, loss_ce: 0.044732, loss_dice: 0.113334
iteration 167 : loss : 0.192337, loss_ce: 0.187398, loss_dice: 0.142928
iteration 168 : loss : 0.261148, loss_ce: 0.294242, loss_dice: 0.149601
iteration 169 : loss : 0.063656, loss_ce: 0.040186, loss_dice: 0.039769
iteration 170 : loss : 0.241510, loss_ce: 0.034922, loss_dice: 0.400293
iteration 171 : loss : 0.186121, loss_ce: 0.098189, loss_dice: 0.232823
iteration 172 : loss : 0.090907, loss_ce: 0.049009, loss_dice: 0.090656
iteration 173 : loss : 0.260447, loss_ce: 0.175455, loss_dice: 0.299064
iteration 174 : loss : 0.051674, loss_ce: 0.039007, loss_dice: 0.039983

  1%|▏                            | 7/1201 [07:18<17:09:05, 51.71s/it]
iteration 176 : loss : 0.079050, loss_ce: 0.045387, loss_dice: 0.076246
iteration 177 : loss : 0.280148, loss_ce: 0.189387, loss_dice: 0.302293
iteration 178 : loss : 0.109096, loss_ce: 0.070135, loss_dice: 0.098147
iteration 179 : loss : 0.281924, loss_ce: 0.122427, loss_dice: 0.386875
iteration 180 : loss : 0.155017, loss_ce: 0.083097, loss_dice: 0.196460
iteration 181 : loss : 0.143658, loss_ce: 0.101582, loss_dice: 0.138044
iteration 182 : loss : 0.223619, loss_ce: 0.187648, loss_dice: 0.209700
iteration 183 : loss : 0.066359, loss_ce: 0.043962, loss_dice: 0.041718
iteration 184 : loss : 0.108112, loss_ce: 0.044068, loss_dice: 0.134094
iteration 185 : loss : 0.249023, loss_ce: 0.275450, loss_dice: 0.171092
iteration 186 : loss : 0.051672, loss_ce: 0.035375, loss_dice: 0.034933
iteration 187 : loss : 0.124072, loss_ce: 0.107348, loss_dice: 0.100846
iteration 188 : loss : 0.158563, loss_ce: 0.087614, loss_dice: 0.182804
iteration 189 : loss : 0.115388, loss_ce: 0.055328, loss_dice: 0.131923
iteration 190 : loss : 0.123447, loss_ce: 0.065927, loss_dice: 0.129402
iteration 191 : loss : 0.208640, loss_ce: 0.194970, loss_dice: 0.147415
iteration 192 : loss : 0.190073, loss_ce: 0.093650, loss_dice: 0.227653
iteration 193 : loss : 0.056536, loss_ce: 0.029463, loss_dice: 0.049140
iteration 194 : loss : 0.067695, loss_ce: 0.046599, loss_dice: 0.048314
iteration 195 : loss : 0.224806, loss_ce: 0.089646, loss_dice: 0.300554
iteration 196 : loss : 0.085028, loss_ce: 0.083435, loss_dice: 0.061354
iteration 197 : loss : 0.153507, loss_ce: 0.089831, loss_dice: 0.055139
iteration 198 : loss : 0.209350, loss_ce: 0.114755, loss_dice: 0.271372
iteration 199 : loss : 0.189636, loss_ce: 0.120209, loss_dice: 0.227866
  0%|                                                                                                                                                                                                            | 0/25 [00:00<?, ?it/s]
iteration 200 : loss : 0.097632, loss_ce: 0.061327, loss_dice: 0.090971
























 96%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████▏       | 24/25 [10:25<00:15, 15.97s/it]
Validation end

  1%|▏                           | 8/1201 [18:59<85:34:57, 258.25s/it]██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 25/25 [10:28<00:00, 12.32s/it]
iteration 201 : loss : 0.198596, loss_ce: 0.068660, loss_dice: 0.274869
iteration 202 : loss : 0.147779, loss_ce: 0.138956, loss_dice: 0.108578
iteration 203 : loss : 0.225946, loss_ce: 0.073098, loss_dice: 0.338699
iteration 204 : loss : 0.206452, loss_ce: 0.069655, loss_dice: 0.314839
iteration 205 : loss : 0.067430, loss_ce: 0.054241, loss_dice: 0.047362
iteration 206 : loss : 0.193316, loss_ce: 0.109834, loss_dice: 0.232541
iteration 207 : loss : 0.054885, loss_ce: 0.037591, loss_dice: 0.040714
iteration 208 : loss : 0.091964, loss_ce: 0.101041, loss_dice: 0.043383
iteration 209 : loss : 0.191398, loss_ce: 0.073451, loss_dice: 0.266458
iteration 210 : loss : 0.283712, loss_ce: 0.171819, loss_dice: 0.364890
iteration 211 : loss : 0.147005, loss_ce: 0.091981, loss_dice: 0.158632
iteration 212 : loss : 0.079787, loss_ce: 0.048005, loss_dice: 0.073682
iteration 213 : loss : 0.171894, loss_ce: 0.155731, loss_dice: 0.142754
iteration 214 : loss : 0.087486, loss_ce: 0.059529, loss_dice: 0.085620
iteration 215 : loss : 0.097628, loss_ce: 0.050466, loss_dice: 0.109887
iteration 216 : loss : 0.115825, loss_ce: 0.017125, loss_dice: 0.173809
iteration 217 : loss : 0.150288, loss_ce: 0.141040, loss_dice: 0.114554
iteration 218 : loss : 0.106269, loss_ce: 0.050975, loss_dice: 0.108117
iteration 219 : loss : 0.106945, loss_ce: 0.077023, loss_dice: 0.107764
iteration 220 : loss : 0.147154, loss_ce: 0.080845, loss_dice: 0.169720
iteration 221 : loss : 0.148230, loss_ce: 0.136584, loss_dice: 0.122110
iteration 222 : loss : 0.175102, loss_ce: 0.136425, loss_dice: 0.183091
iteration 223 : loss : 0.067121, loss_ce: 0.046883, loss_dice: 0.047738
iteration 224 : loss : 0.154946, loss_ce: 0.069803, loss_dice: 0.205440

  1%|▏                           | 9/1201 [20:55<70:50:29, 213.95s/it]██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 25/25 [10:28<00:00, 12.32s/it]
iteration 226 : loss : 0.153605, loss_ce: 0.029639, loss_dice: 0.230382
iteration 227 : loss : 0.220008, loss_ce: 0.149212, loss_dice: 0.255240
iteration 228 : loss : 0.235636, loss_ce: 0.125088, loss_dice: 0.300952
iteration 229 : loss : 0.168124, loss_ce: 0.102660, loss_dice: 0.193169
iteration 230 : loss : 0.084883, loss_ce: 0.056648, loss_dice: 0.079144
iteration 231 : loss : 0.094475, loss_ce: 0.074904, loss_dice: 0.081022
iteration 232 : loss : 0.266694, loss_ce: 0.298183, loss_dice: 0.158567
iteration 233 : loss : 0.189252, loss_ce: 0.171932, loss_dice: 0.149727
iteration 234 : loss : 0.125281, loss_ce: 0.072501, loss_dice: 0.133054
iteration 235 : loss : 0.090626, loss_ce: 0.068478, loss_dice: 0.068809
iteration 236 : loss : 0.079951, loss_ce: 0.052211, loss_dice: 0.064729
iteration 237 : loss : 0.064438, loss_ce: 0.047372, loss_dice: 0.036165
iteration 238 : loss : 0.251960, loss_ce: 0.143000, loss_dice: 0.315218
iteration 239 : loss : 0.063386, loss_ce: 0.038525, loss_dice: 0.052786
iteration 240 : loss : 0.202488, loss_ce: 0.075999, loss_dice: 0.279281
iteration 241 : loss : 0.144740, loss_ce: 0.125851, loss_dice: 0.125608
iteration 242 : loss : 0.176538, loss_ce: 0.077621, loss_dice: 0.237926
iteration 243 : loss : 0.059543, loss_ce: 0.052766, loss_dice: 0.036008
iteration 244 : loss : 0.069068, loss_ce: 0.039984, loss_dice: 0.058807
iteration 245 : loss : 0.072656, loss_ce: 0.048344, loss_dice: 0.059608
iteration 246 : loss : 0.085259, loss_ce: 0.074470, loss_dice: 0.068631
iteration 247 : loss : 0.166840, loss_ce: 0.189379, loss_dice: 0.090494
iteration 248 : loss : 0.125399, loss_ce: 0.064602, loss_dice: 0.148879

  1%|▏                          | 10/1201 [22:21<57:42:42, 174.44s/it]██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 25/25 [10:28<00:00, 12.32s/it]
iteration 250 : loss : 0.209353, loss_ce: 0.099006, loss_dice: 0.285011
iteration 251 : loss : 0.103527, loss_ce: 0.086899, loss_dice: 0.081525
iteration 252 : loss : 0.146377, loss_ce: 0.095724, loss_dice: 0.166108
iteration 253 : loss : 0.130385, loss_ce: 0.079912, loss_dice: 0.128908
iteration 254 : loss : 0.065268, loss_ce: 0.054603, loss_dice: 0.049190
iteration 255 : loss : 0.098900, loss_ce: 0.069314, loss_dice: 0.101193
iteration 256 : loss : 0.304736, loss_ce: 0.224586, loss_dice: 0.329829
iteration 257 : loss : 0.404831, loss_ce: 0.255786, loss_dice: 0.471719
iteration 258 : loss : 0.200633, loss_ce: 0.129404, loss_dice: 0.222031
iteration 259 : loss : 0.050690, loss_ce: 0.018960, loss_dice: 0.047892
iteration 260 : loss : 0.078886, loss_ce: 0.064775, loss_dice: 0.051970
iteration 261 : loss : 0.062081, loss_ce: 0.036509, loss_dice: 0.053585
iteration 262 : loss : 0.232714, loss_ce: 0.123231, loss_dice: 0.285571
iteration 263 : loss : 0.084188, loss_ce: 0.061830, loss_dice: 0.085251
iteration 264 : loss : 0.136052, loss_ce: 0.073494, loss_dice: 0.169517
iteration 265 : loss : 0.100090, loss_ce: 0.101746, loss_dice: 0.070633
iteration 266 : loss : 0.074322, loss_ce: 0.064073, loss_dice: 0.054124
iteration 267 : loss : 0.072545, loss_ce: 0.046491, loss_dice: 0.075460
iteration 268 : loss : 0.086116, loss_ce: 0.055694, loss_dice: 0.080870
iteration 269 : loss : 0.198359, loss_ce: 0.081779, loss_dice: 0.273318
iteration 270 : loss : 0.111822, loss_ce: 0.063251, loss_dice: 0.118089
iteration 271 : loss : 0.108943, loss_ce: 0.065595, loss_dice: 0.118239
iteration 272 : loss : 0.145560, loss_ce: 0.071404, loss_dice: 0.183605
iteration 273 : loss : 0.136539, loss_ce: 0.093650, loss_dice: 0.149014

  1%|▏                          | 11/1201 [23:02<44:07:49, 133.50s/it]██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 25/25 [10:28<00:00, 12.32s/it]
iteration 275 : loss : 0.117275, loss_ce: 0.099164, loss_dice: 0.106934
iteration 276 : loss : 0.087801, loss_ce: 0.016369, loss_dice: 0.123381
iteration 277 : loss : 0.087653, loss_ce: 0.068093, loss_dice: 0.070205
iteration 278 : loss : 0.113924, loss_ce: 0.095435, loss_dice: 0.092696
iteration 279 : loss : 0.209401, loss_ce: 0.086397, loss_dice: 0.300398
iteration 280 : loss : 0.088140, loss_ce: 0.052962, loss_dice: 0.073270
iteration 281 : loss : 0.056504, loss_ce: 0.046475, loss_dice: 0.035063
iteration 282 : loss : 0.267142, loss_ce: 0.069909, loss_dice: 0.434393
iteration 283 : loss : 0.090369, loss_ce: 0.073618, loss_dice: 0.066423
iteration 284 : loss : 0.183972, loss_ce: 0.137657, loss_dice: 0.189224
iteration 285 : loss : 0.324503, loss_ce: 0.393088, loss_dice: 0.196005
iteration 286 : loss : 0.054544, loss_ce: 0.026021, loss_dice: 0.054730
iteration 287 : loss : 0.114987, loss_ce: 0.082387, loss_dice: 0.105686
iteration 288 : loss : 0.100688, loss_ce: 0.091880, loss_dice: 0.082084
iteration 289 : loss : 0.047874, loss_ce: 0.022955, loss_dice: 0.044753
iteration 290 : loss : 0.090774, loss_ce: 0.058884, loss_dice: 0.085670
iteration 291 : loss : 0.140637, loss_ce: 0.113898, loss_dice: 0.125717
iteration 292 : loss : 0.236641, loss_ce: 0.149704, loss_dice: 0.266526
iteration 293 : loss : 0.099213, loss_ce: 0.064611, loss_dice: 0.099805
iteration 294 : loss : 0.092797, loss_ce: 0.080565, loss_dice: 0.074548
iteration 295 : loss : 0.083367, loss_ce: 0.057569, loss_dice: 0.072098
iteration 296 : loss : 0.364375, loss_ce: 0.204053, loss_dice: 0.372852
iteration 297 : loss : 0.231329, loss_ce: 0.091905, loss_dice: 0.326195
iteration 298 : loss : 0.127406, loss_ce: 0.074179, loss_dice: 0.132038

  1%|▎                          | 12/1201 [23:59<36:23:32, 110.19s/it]██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 25/25 [10:28<00:00, 12.32s/it]
iteration 300 : loss : 0.066598, loss_ce: 0.040189, loss_dice: 0.067799
iteration 301 : loss : 0.143067, loss_ce: 0.115072, loss_dice: 0.120668
iteration 302 : loss : 0.279388, loss_ce: 0.150552, loss_dice: 0.369111
iteration 303 : loss : 0.179691, loss_ce: 0.080998, loss_dice: 0.242240
iteration 304 : loss : 0.111558, loss_ce: 0.089872, loss_dice: 0.092258
iteration 305 : loss : 0.109836, loss_ce: 0.072160, loss_dice: 0.099349
iteration 306 : loss : 0.561159, loss_ce: 0.571378, loss_dice: 0.447842
iteration 307 : loss : 0.047589, loss_ce: 0.037968, loss_dice: 0.037173
iteration 308 : loss : 0.097027, loss_ce: 0.063722, loss_dice: 0.071010
iteration 309 : loss : 0.119181, loss_ce: 0.125371, loss_dice: 0.078940
iteration 310 : loss : 0.053171, loss_ce: 0.041444, loss_dice: 0.039833
iteration 311 : loss : 0.069350, loss_ce: 0.064099, loss_dice: 0.040666
iteration 312 : loss : 0.128378, loss_ce: 0.106192, loss_dice: 0.123012
iteration 313 : loss : 0.221588, loss_ce: 0.125919, loss_dice: 0.291283
iteration 314 : loss : 0.216318, loss_ce: 0.106548, loss_dice: 0.263281
iteration 315 : loss : 0.060364, loss_ce: 0.040396, loss_dice: 0.057880
iteration 316 : loss : 0.160012, loss_ce: 0.050368, loss_dice: 0.223610
iteration 317 : loss : 0.090012, loss_ce: 0.055614, loss_dice: 0.088960
iteration 318 : loss : 0.078166, loss_ce: 0.052509, loss_dice: 0.056582
iteration 319 : loss : 0.081840, loss_ce: 0.055735, loss_dice: 0.078621
iteration 320 : loss : 0.260761, loss_ce: 0.278569, loss_dice: 0.187559
iteration 321 : loss : 0.097512, loss_ce: 0.068635, loss_dice: 0.093188
iteration 322 : loss : 0.087269, loss_ce: 0.066515, loss_dice: 0.077707
iteration 323 : loss : 0.072187, loss_ce: 0.048388, loss_dice: 0.064642
iteration 324 : loss : 0.129321, loss_ce: 0.061369, loss_dice: 0.158813

  1%|▎                          | 13/1201 [26:05<38:00:07, 115.16s/it]██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 25/25 [10:28<00:00, 12.32s/it]
iteration 326 : loss : 0.061055, loss_ce: 0.034458, loss_dice: 0.051169
