
Namespace(T=4, base_lr=0.01, batch_size=4, consistency=0.1, consistency_rampup=40.0, consistency_type='mse', deterministic=1, ema_decay=0.99, exp='GDT-MT', gpu='5', labeled_bs=2, labeled_num=50, max_iterations=30000, model='vnet_3D_96_32', num_classes=2, patch_size=[96, 96, 96], root_path='/data/sohui/BraTS/data/BraTs2019', seed=1337, total_labeled_num=250)
total 250 samples
25 iterations per epoch
  0%|                                        | 0/1201 [00:00<?, ?it/s]
iteration 46 : loss : 0.187091, loss_ce: 0.185036, loss_dice: 0.114374
iteration 47 : loss : 0.150303, loss_ce: 0.111006, loss_dice: 0.118729
iteration 48 : loss : 0.161953, loss_ce: 0.135602, loss_dice: 0.129821

  0%|                             | 2/1201 [01:44<17:27:29, 52.42s/it]
iteration 50 : loss : 0.160200, loss_ce: 0.133894, loss_dice: 0.097436
iteration 51 : loss : 0.222603, loss_ce: 0.107701, loss_dice: 0.285019
iteration 52 : loss : 0.124742, loss_ce: 0.117190, loss_dice: 0.066714
iteration 53 : loss : 0.184467, loss_ce: 0.140240, loss_dice: 0.167843
iteration 54 : loss : 0.099482, loss_ce: 0.079301, loss_dice: 0.054852
iteration 55 : loss : 0.137497, loss_ce: 0.126144, loss_dice: 0.070601
iteration 56 : loss : 0.169611, loss_ce: 0.144244, loss_dice: 0.134387
iteration 57 : loss : 0.129285, loss_ce: 0.100385, loss_dice: 0.105459
iteration 58 : loss : 0.349378, loss_ce: 0.283914, loss_dice: 0.329562
iteration 59 : loss : 0.206652, loss_ce: 0.115614, loss_dice: 0.240840
iteration 60 : loss : 0.095467, loss_ce: 0.068873, loss_dice: 0.081957
iteration 61 : loss : 0.101132, loss_ce: 0.086946, loss_dice: 0.077277
iteration 62 : loss : 0.342157, loss_ce: 0.124653, loss_dice: 0.451382
iteration 63 : loss : 0.235183, loss_ce: 0.133081, loss_dice: 0.280802
iteration 64 : loss : 0.110108, loss_ce: 0.077108, loss_dice: 0.085557
iteration 65 : loss : 0.103069, loss_ce: 0.067673, loss_dice: 0.084402
iteration 66 : loss : 0.154704, loss_ce: 0.126648, loss_dice: 0.136937
iteration 67 : loss : 0.077851, loss_ce: 0.055228, loss_dice: 0.050858
iteration 68 : loss : 0.114003, loss_ce: 0.095345, loss_dice: 0.089025
iteration 69 : loss : 0.193021, loss_ce: 0.100416, loss_dice: 0.183434
iteration 70 : loss : 0.140972, loss_ce: 0.099862, loss_dice: 0.081263
iteration 71 : loss : 0.134222, loss_ce: 0.129384, loss_dice: 0.067873
iteration 72 : loss : 0.120937, loss_ce: 0.094825, loss_dice: 0.103978
iteration 73 : loss : 0.140319, loss_ce: 0.102970, loss_dice: 0.112609
iteration 74 : loss : 0.080971, loss_ce: 0.067264, loss_dice: 0.058094

  0%|                             | 3/1201 [02:36<17:22:28, 52.21s/it]
iteration 76 : loss : 0.141064, loss_ce: 0.114635, loss_dice: 0.106963
iteration 77 : loss : 0.299048, loss_ce: 0.258847, loss_dice: 0.248703
iteration 78 : loss : 0.246473, loss_ce: 0.118888, loss_dice: 0.282525
iteration 79 : loss : 0.168119, loss_ce: 0.087646, loss_dice: 0.198985
iteration 80 : loss : 0.161731, loss_ce: 0.073853, loss_dice: 0.196557
iteration 81 : loss : 0.178718, loss_ce: 0.142219, loss_dice: 0.164927
iteration 82 : loss : 0.224038, loss_ce: 0.161537, loss_dice: 0.243772
iteration 83 : loss : 0.112980, loss_ce: 0.103564, loss_dice: 0.070006
iteration 84 : loss : 0.208173, loss_ce: 0.143245, loss_dice: 0.214707
iteration 85 : loss : 0.161543, loss_ce: 0.104249, loss_dice: 0.169465
iteration 86 : loss : 0.077873, loss_ce: 0.060026, loss_dice: 0.052541
iteration 87 : loss : 0.180070, loss_ce: 0.101647, loss_dice: 0.199713
iteration 88 : loss : 0.068416, loss_ce: 0.053637, loss_dice: 0.038489
iteration 89 : loss : 0.150755, loss_ce: 0.071803, loss_dice: 0.192608
iteration 90 : loss : 0.156884, loss_ce: 0.074554, loss_dice: 0.205135
iteration 91 : loss : 0.137752, loss_ce: 0.127060, loss_dice: 0.097882
iteration 92 : loss : 0.082284, loss_ce: 0.056154, loss_dice: 0.048157
iteration 93 : loss : 0.066768, loss_ce: 0.057517, loss_dice: 0.037769
iteration 94 : loss : 0.080801, loss_ce: 0.070009, loss_dice: 0.046936
iteration 95 : loss : 0.137945, loss_ce: 0.053436, loss_dice: 0.182246
iteration 96 : loss : 0.068790, loss_ce: 0.055067, loss_dice: 0.040047
iteration 97 : loss : 0.121758, loss_ce: 0.092986, loss_dice: 0.091336
iteration 98 : loss : 0.080429, loss_ce: 0.049082, loss_dice: 0.064193

  0%|                             | 4/1201 [03:29<17:28:11, 52.54s/it]
iteration 100 : loss : 0.168700, loss_ce: 0.094912, loss_dice: 0.174852
iteration 101 : loss : 0.166079, loss_ce: 0.156402, loss_dice: 0.111463
iteration 102 : loss : 0.080030, loss_ce: 0.041670, loss_dice: 0.076570
iteration 103 : loss : 0.120066, loss_ce: 0.102583, loss_dice: 0.089445
iteration 104 : loss : 0.108517, loss_ce: 0.067884, loss_dice: 0.102973
iteration 105 : loss : 0.074212, loss_ce: 0.053501, loss_dice: 0.055171
iteration 106 : loss : 0.083871, loss_ce: 0.040136, loss_dice: 0.081171
iteration 107 : loss : 0.243628, loss_ce: 0.255401, loss_dice: 0.131700
iteration 108 : loss : 0.076693, loss_ce: 0.066982, loss_dice: 0.048770
iteration 109 : loss : 0.174387, loss_ce: 0.119855, loss_dice: 0.177799
iteration 110 : loss : 0.220178, loss_ce: 0.050244, loss_dice: 0.295614
iteration 111 : loss : 0.130145, loss_ce: 0.092778, loss_dice: 0.126809
iteration 112 : loss : 0.098591, loss_ce: 0.038580, loss_dice: 0.087450
iteration 113 : loss : 0.227631, loss_ce: 0.126819, loss_dice: 0.285606
iteration 114 : loss : 0.105161, loss_ce: 0.072293, loss_dice: 0.095655
iteration 115 : loss : 0.059001, loss_ce: 0.041580, loss_dice: 0.038477
iteration 116 : loss : 0.175659, loss_ce: 0.149633, loss_dice: 0.141847
iteration 117 : loss : 0.051251, loss_ce: 0.027942, loss_dice: 0.049319
iteration 118 : loss : 0.140227, loss_ce: 0.133817, loss_dice: 0.107279
iteration 119 : loss : 0.159506, loss_ce: 0.046684, loss_dice: 0.152937
iteration 120 : loss : 0.141580, loss_ce: 0.063061, loss_dice: 0.170498
iteration 121 : loss : 0.144383, loss_ce: 0.096453, loss_dice: 0.144079
iteration 122 : loss : 0.106664, loss_ce: 0.034905, loss_dice: 0.115444
iteration 123 : loss : 0.271669, loss_ce: 0.269869, loss_dice: 0.214630

  0%|                             | 5/1201 [04:21<17:24:04, 52.38s/it]
iteration 125 : loss : 0.147263, loss_ce: 0.093020, loss_dice: 0.136950
iteration 126 : loss : 0.134080, loss_ce: 0.114087, loss_dice: 0.107821
iteration 127 : loss : 0.088213, loss_ce: 0.068334, loss_dice: 0.056723
iteration 128 : loss : 0.094124, loss_ce: 0.043650, loss_dice: 0.101632
iteration 129 : loss : 0.101377, loss_ce: 0.072660, loss_dice: 0.080959
iteration 130 : loss : 0.139976, loss_ce: 0.122156, loss_dice: 0.104321
iteration 131 : loss : 0.126815, loss_ce: 0.092666, loss_dice: 0.119615
iteration 132 : loss : 0.319186, loss_ce: 0.319301, loss_dice: 0.241314
iteration 133 : loss : 0.173605, loss_ce: 0.164064, loss_dice: 0.133372
iteration 134 : loss : 0.105654, loss_ce: 0.050741, loss_dice: 0.119058
iteration 135 : loss : 0.236471, loss_ce: 0.155575, loss_dice: 0.267514
iteration 136 : loss : 0.059170, loss_ce: 0.040349, loss_dice: 0.045234
iteration 137 : loss : 0.136735, loss_ce: 0.085601, loss_dice: 0.149593
iteration 138 : loss : 0.077302, loss_ce: 0.054077, loss_dice: 0.060939
iteration 139 : loss : 0.180285, loss_ce: 0.102882, loss_dice: 0.199001
iteration 140 : loss : 0.070750, loss_ce: 0.021096, loss_dice: 0.064136
iteration 141 : loss : 0.149043, loss_ce: 0.053103, loss_dice: 0.198558
iteration 142 : loss : 0.073709, loss_ce: 0.052821, loss_dice: 0.046198
iteration 143 : loss : 0.110362, loss_ce: 0.084300, loss_dice: 0.096140
iteration 144 : loss : 0.341975, loss_ce: 0.197607, loss_dice: 0.442419
iteration 145 : loss : 0.207415, loss_ce: 0.124522, loss_dice: 0.245240
iteration 146 : loss : 0.098632, loss_ce: 0.064075, loss_dice: 0.082202
iteration 147 : loss : 0.079915, loss_ce: 0.059807, loss_dice: 0.063687
iteration 148 : loss : 0.138030, loss_ce: 0.121925, loss_dice: 0.120638

  0%|▏                            | 6/1201 [05:13<17:20:39, 52.25s/it]
iteration 150 : loss : 0.146916, loss_ce: 0.105078, loss_dice: 0.134156
iteration 151 : loss : 0.079535, loss_ce: 0.073971, loss_dice: 0.039856
iteration 152 : loss : 0.112007, loss_ce: 0.104040, loss_dice: 0.070090
iteration 153 : loss : 0.065340, loss_ce: 0.048681, loss_dice: 0.041232
iteration 154 : loss : 0.093425, loss_ce: 0.076347, loss_dice: 0.054286
iteration 155 : loss : 0.080562, loss_ce: 0.039432, loss_dice: 0.074335
iteration 156 : loss : 0.089143, loss_ce: 0.040537, loss_dice: 0.097043
iteration 157 : loss : 0.081827, loss_ce: 0.048819, loss_dice: 0.075778
iteration 158 : loss : 0.104352, loss_ce: 0.068107, loss_dice: 0.105722
iteration 159 : loss : 0.234745, loss_ce: 0.152840, loss_dice: 0.261326
iteration 160 : loss : 0.075792, loss_ce: 0.040751, loss_dice: 0.080005
iteration 161 : loss : 0.241846, loss_ce: 0.094766, loss_dice: 0.332707
iteration 162 : loss : 0.274797, loss_ce: 0.179966, loss_dice: 0.340654
iteration 163 : loss : 0.131536, loss_ce: 0.066151, loss_dice: 0.146335
iteration 164 : loss : 0.152464, loss_ce: 0.073500, loss_dice: 0.192983
iteration 165 : loss : 0.333485, loss_ce: 0.265720, loss_dice: 0.322080
iteration 166 : loss : 0.094606, loss_ce: 0.040154, loss_dice: 0.108455
iteration 167 : loss : 0.184231, loss_ce: 0.158590, loss_dice: 0.154924
iteration 168 : loss : 0.340286, loss_ce: 0.397634, loss_dice: 0.171126
iteration 169 : loss : 0.060934, loss_ce: 0.034233, loss_dice: 0.039910
iteration 170 : loss : 0.260118, loss_ce: 0.033573, loss_dice: 0.436873
iteration 171 : loss : 0.153602, loss_ce: 0.095599, loss_dice: 0.176487
iteration 172 : loss : 0.095162, loss_ce: 0.050606, loss_dice: 0.096511
iteration 173 : loss : 0.088860, loss_ce: 0.068330, loss_dice: 0.052841

  1%|▏                            | 7/1201 [06:06<17:21:45, 52.35s/it]
iteration 175 : loss : 0.074993, loss_ce: 0.044140, loss_dice: 0.067099
iteration 176 : loss : 0.085327, loss_ce: 0.047933, loss_dice: 0.087831
iteration 177 : loss : 0.252630, loss_ce: 0.186559, loss_dice: 0.254312
iteration 178 : loss : 0.092608, loss_ce: 0.055095, loss_dice: 0.076678
iteration 179 : loss : 0.188280, loss_ce: 0.052381, loss_dice: 0.258594
iteration 180 : loss : 0.192066, loss_ce: 0.126545, loss_dice: 0.212356
iteration 181 : loss : 0.132124, loss_ce: 0.098983, loss_dice: 0.121462
iteration 182 : loss : 0.197456, loss_ce: 0.173542, loss_dice: 0.173084
iteration 183 : loss : 0.082222, loss_ce: 0.065798, loss_dice: 0.055014
iteration 184 : loss : 0.091290, loss_ce: 0.035342, loss_dice: 0.105806
iteration 185 : loss : 0.222659, loss_ce: 0.260311, loss_dice: 0.129609
iteration 186 : loss : 0.081607, loss_ce: 0.070480, loss_dice: 0.055152
iteration 187 : loss : 0.096994, loss_ce: 0.087480, loss_dice: 0.071266
iteration 188 : loss : 0.144096, loss_ce: 0.066728, loss_dice: 0.184487
iteration 189 : loss : 0.125829, loss_ce: 0.071039, loss_dice: 0.139014
iteration 190 : loss : 0.088658, loss_ce: 0.051458, loss_dice: 0.071181
iteration 191 : loss : 0.157803, loss_ce: 0.153049, loss_dice: 0.100875
iteration 192 : loss : 0.208360, loss_ce: 0.125591, loss_dice: 0.235137
iteration 193 : loss : 0.053185, loss_ce: 0.031874, loss_dice: 0.034063
iteration 194 : loss : 0.060106, loss_ce: 0.045645, loss_dice: 0.041756
iteration 195 : loss : 0.140063, loss_ce: 0.034536, loss_dice: 0.200929
iteration 196 : loss : 0.070954, loss_ce: 0.066040, loss_dice: 0.043032
iteration 197 : loss : 0.139897, loss_ce: 0.111652, loss_dice: 0.102530
iteration 198 : loss : 0.156675, loss_ce: 0.062244, loss_dice: 0.204161
iteration 199 : loss : 0.077045, loss_ce: 0.055145, loss_dice: 0.067817
  0%|                                                                                                                                                                                                            | 0/25 [00:00<?, ?it/s]
iteration 200 : loss : 0.080139, loss_ce: 0.053399, loss_dice: 0.057246

























  1%|▏                            | 8/1201 [08:29<26:57:27, 81.35s/it]██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 25/25 [01:30<00:00,  3.65s/it]
Validation end
iteration 200 : dice_score : 0.742426 hd95 : 31.160977 uncertainty : 0.078688
iteration 201 : loss : 0.194239, loss_ce: 0.098373, loss_dice: 0.237801
iteration 202 : loss : 0.123675, loss_ce: 0.098655, loss_dice: 0.076446
iteration 203 : loss : 0.100522, loss_ce: 0.056006, loss_dice: 0.108516
iteration 204 : loss : 0.086409, loss_ce: 0.069204, loss_dice: 0.074430
iteration 205 : loss : 0.070713, loss_ce: 0.057415, loss_dice: 0.040886
iteration 206 : loss : 0.204851, loss_ce: 0.124885, loss_dice: 0.238493
iteration 207 : loss : 0.075644, loss_ce: 0.054242, loss_dice: 0.050338
iteration 208 : loss : 0.130450, loss_ce: 0.134609, loss_dice: 0.077454
iteration 209 : loss : 0.090491, loss_ce: 0.043023, loss_dice: 0.096963
iteration 210 : loss : 0.063021, loss_ce: 0.056194, loss_dice: 0.040665
iteration 211 : loss : 0.132102, loss_ce: 0.079804, loss_dice: 0.139187
iteration 212 : loss : 0.073316, loss_ce: 0.048277, loss_dice: 0.066603
iteration 213 : loss : 0.230163, loss_ce: 0.195980, loss_dice: 0.196108
iteration 214 : loss : 0.069000, loss_ce: 0.043906, loss_dice: 0.053010
iteration 215 : loss : 0.085708, loss_ce: 0.045000, loss_dice: 0.090601
iteration 216 : loss : 0.165399, loss_ce: 0.032626, loss_dice: 0.255483
iteration 217 : loss : 0.121850, loss_ce: 0.115887, loss_dice: 0.071721
iteration 218 : loss : 0.128126, loss_ce: 0.060259, loss_dice: 0.129738
iteration 219 : loss : 0.098847, loss_ce: 0.071322, loss_dice: 0.089510
iteration 220 : loss : 0.093780, loss_ce: 0.046463, loss_dice: 0.108639
iteration 221 : loss : 0.160094, loss_ce: 0.150618, loss_dice: 0.122748
iteration 222 : loss : 0.054818, loss_ce: 0.054337, loss_dice: 0.028194
iteration 223 : loss : 0.074379, loss_ce: 0.052114, loss_dice: 0.050560

  1%|▏                            | 9/1201 [09:22<23:56:52, 72.33s/it]██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 25/25 [01:30<00:00,  3.65s/it]
iteration 225 : loss : 0.306607, loss_ce: 0.263791, loss_dice: 0.264381
iteration 226 : loss : 0.134651, loss_ce: 0.034367, loss_dice: 0.175266
iteration 227 : loss : 0.064949, loss_ce: 0.048184, loss_dice: 0.035990
iteration 228 : loss : 0.129683, loss_ce: 0.058976, loss_dice: 0.149856
iteration 229 : loss : 0.093344, loss_ce: 0.061082, loss_dice: 0.082619
iteration 230 : loss : 0.077749, loss_ce: 0.053686, loss_dice: 0.064406
iteration 231 : loss : 0.074532, loss_ce: 0.052877, loss_dice: 0.055160
iteration 232 : loss : 0.271015, loss_ce: 0.310875, loss_dice: 0.164847
iteration 233 : loss : 0.216598, loss_ce: 0.191366, loss_dice: 0.188299
iteration 234 : loss : 0.086062, loss_ce: 0.042955, loss_dice: 0.075860
iteration 235 : loss : 0.068406, loss_ce: 0.035211, loss_dice: 0.058359
iteration 236 : loss : 0.080256, loss_ce: 0.037408, loss_dice: 0.076622
iteration 237 : loss : 0.126326, loss_ce: 0.105225, loss_dice: 0.119707
iteration 238 : loss : 0.289820, loss_ce: 0.135426, loss_dice: 0.387891
iteration 239 : loss : 0.082826, loss_ce: 0.061030, loss_dice: 0.064257
iteration 240 : loss : 0.236319, loss_ce: 0.168409, loss_dice: 0.267547
iteration 241 : loss : 0.134080, loss_ce: 0.116363, loss_dice: 0.113505
iteration 242 : loss : 0.096742, loss_ce: 0.054456, loss_dice: 0.102145
iteration 243 : loss : 0.057754, loss_ce: 0.047393, loss_dice: 0.022293
iteration 244 : loss : 0.069131, loss_ce: 0.038267, loss_dice: 0.054225
iteration 245 : loss : 0.126120, loss_ce: 0.094186, loss_dice: 0.110112
iteration 246 : loss : 0.052977, loss_ce: 0.036436, loss_dice: 0.040470
iteration 247 : loss : 0.183269, loss_ce: 0.198412, loss_dice: 0.089268
iteration 248 : loss : 0.112214, loss_ce: 0.055726, loss_dice: 0.139227

  1%|▏                           | 10/1201 [10:15<21:56:02, 66.30s/it]██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 25/25 [01:30<00:00,  3.65s/it]
iteration 250 : loss : 0.062667, loss_ce: 0.040926, loss_dice: 0.050923
iteration 251 : loss : 0.062275, loss_ce: 0.050215, loss_dice: 0.036699
iteration 252 : loss : 0.058732, loss_ce: 0.048523, loss_dice: 0.040748
iteration 253 : loss : 0.150341, loss_ce: 0.090215, loss_dice: 0.158049
iteration 254 : loss : 0.055532, loss_ce: 0.037481, loss_dice: 0.037914
iteration 255 : loss : 0.068509, loss_ce: 0.040422, loss_dice: 0.063926
iteration 256 : loss : 0.277396, loss_ce: 0.220140, loss_dice: 0.269972
iteration 257 : loss : 0.374234, loss_ce: 0.203929, loss_dice: 0.468691
iteration 258 : loss : 0.134152, loss_ce: 0.089521, loss_dice: 0.138721
iteration 259 : loss : 0.089891, loss_ce: 0.054456, loss_dice: 0.096111
iteration 260 : loss : 0.085633, loss_ce: 0.076042, loss_dice: 0.056601
iteration 261 : loss : 0.073118, loss_ce: 0.053108, loss_dice: 0.059018
iteration 262 : loss : 0.235941, loss_ce: 0.132001, loss_dice: 0.281954
iteration 263 : loss : 0.085980, loss_ce: 0.073668, loss_dice: 0.075105
iteration 264 : loss : 0.068325, loss_ce: 0.056685, loss_dice: 0.057115
iteration 265 : loss : 0.109525, loss_ce: 0.087077, loss_dice: 0.093549
iteration 266 : loss : 0.081839, loss_ce: 0.070208, loss_dice: 0.061095
iteration 267 : loss : 0.091554, loss_ce: 0.051087, loss_dice: 0.109179
iteration 268 : loss : 0.086163, loss_ce: 0.054532, loss_dice: 0.076479
iteration 269 : loss : 0.174809, loss_ce: 0.103509, loss_dice: 0.201258
iteration 270 : loss : 0.140580, loss_ce: 0.068758, loss_dice: 0.159019
iteration 271 : loss : 0.079712, loss_ce: 0.044022, loss_dice: 0.079076
iteration 272 : loss : 0.111998, loss_ce: 0.056564, loss_dice: 0.141254
iteration 273 : loss : 0.136152, loss_ce: 0.093307, loss_dice: 0.143003

  1%|▎                           | 11/1201 [11:07<20:27:02, 61.87s/it]██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 25/25 [01:30<00:00,  3.65s/it]
iteration 275 : loss : 0.118942, loss_ce: 0.094321, loss_dice: 0.102989
iteration 276 : loss : 0.164120, loss_ce: 0.035757, loss_dice: 0.256865
iteration 277 : loss : 0.134336, loss_ce: 0.128121, loss_dice: 0.100144
iteration 278 : loss : 0.086026, loss_ce: 0.069720, loss_dice: 0.061753
iteration 279 : loss : 0.089779, loss_ce: 0.053692, loss_dice: 0.096662
iteration 280 : loss : 0.154573, loss_ce: 0.100271, loss_dice: 0.154978
iteration 281 : loss : 0.048124, loss_ce: 0.032990, loss_dice: 0.032325
iteration 282 : loss : 0.235068, loss_ce: 0.104013, loss_dice: 0.328171
iteration 283 : loss : 0.130273, loss_ce: 0.092062, loss_dice: 0.122291
iteration 284 : loss : 0.186447, loss_ce: 0.143143, loss_dice: 0.192383
iteration 285 : loss : 0.271012, loss_ce: 0.300302, loss_dice: 0.165740
iteration 286 : loss : 0.118646, loss_ce: 0.078169, loss_dice: 0.121659
iteration 287 : loss : 0.123556, loss_ce: 0.083893, loss_dice: 0.115706
iteration 288 : loss : 0.131955, loss_ce: 0.119982, loss_dice: 0.108609
iteration 289 : loss : 0.057162, loss_ce: 0.035973, loss_dice: 0.042067
iteration 290 : loss : 0.090805, loss_ce: 0.060684, loss_dice: 0.078314
iteration 291 : loss : 0.187077, loss_ce: 0.142562, loss_dice: 0.179805
iteration 292 : loss : 0.214439, loss_ce: 0.120704, loss_dice: 0.244110
iteration 293 : loss : 0.101997, loss_ce: 0.071480, loss_dice: 0.100766
iteration 294 : loss : 0.058235, loss_ce: 0.055633, loss_dice: 0.036637
iteration 295 : loss : 0.076853, loss_ce: 0.040391, loss_dice: 0.074668
iteration 296 : loss : 0.132543, loss_ce: 0.092595, loss_dice: 0.049998
iteration 297 : loss : 0.082269, loss_ce: 0.041553, loss_dice: 0.069696
iteration 298 : loss : 0.132002, loss_ce: 0.080506, loss_dice: 0.134953

  1%|▎                           | 12/1201 [11:59<19:28:18, 58.96s/it]██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 25/25 [01:30<00:00,  3.65s/it]
iteration 300 : loss : 0.063703, loss_ce: 0.036642, loss_dice: 0.056288
iteration 301 : loss : 0.113576, loss_ce: 0.105649, loss_dice: 0.092159
iteration 302 : loss : 0.125952, loss_ce: 0.089710, loss_dice: 0.120612
iteration 303 : loss : 0.090545, loss_ce: 0.067633, loss_dice: 0.075447
iteration 304 : loss : 0.083364, loss_ce: 0.062227, loss_dice: 0.073576
iteration 305 : loss : 0.125157, loss_ce: 0.090045, loss_dice: 0.113427
iteration 306 : loss : 0.290514, loss_ce: 0.324013, loss_dice: 0.174698
iteration 307 : loss : 0.040542, loss_ce: 0.029935, loss_dice: 0.027363
iteration 308 : loss : 0.094232, loss_ce: 0.066895, loss_dice: 0.065956
iteration 309 : loss : 0.130433, loss_ce: 0.124754, loss_dice: 0.089482
iteration 310 : loss : 0.063972, loss_ce: 0.057955, loss_dice: 0.039628
iteration 311 : loss : 0.051294, loss_ce: 0.041984, loss_dice: 0.032089
iteration 312 : loss : 0.162117, loss_ce: 0.111500, loss_dice: 0.180250
iteration 313 : loss : 0.160851, loss_ce: 0.064435, loss_dice: 0.225234
iteration 314 : loss : 0.056941, loss_ce: 0.033829, loss_dice: 0.038917
iteration 315 : loss : 0.083127, loss_ce: 0.050327, loss_dice: 0.074332
iteration 316 : loss : 0.222269, loss_ce: 0.085196, loss_dice: 0.307150
iteration 317 : loss : 0.105341, loss_ce: 0.077689, loss_dice: 0.095481
iteration 318 : loss : 0.067541, loss_ce: 0.038723, loss_dice: 0.060288
iteration 319 : loss : 0.043899, loss_ce: 0.033201, loss_dice: 0.029305
iteration 320 : loss : 0.247782, loss_ce: 0.263518, loss_dice: 0.172820
iteration 321 : loss : 0.096947, loss_ce: 0.069644, loss_dice: 0.092285
iteration 322 : loss : 0.074581, loss_ce: 0.048042, loss_dice: 0.054047
iteration 323 : loss : 0.083245, loss_ce: 0.058165, loss_dice: 0.066424

  1%|▎                           | 13/1201 [12:52<18:52:10, 57.18s/it]██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 25/25 [01:30<00:00,  3.65s/it]
iteration 325 : loss : 0.298289, loss_ce: 0.197819, loss_dice: 0.328049
iteration 326 : loss : 0.065421, loss_ce: 0.038767, loss_dice: 0.056497
iteration 327 : loss : 0.070991, loss_ce: 0.046851, loss_dice: 0.061238
